게임명,개발자,날짜,랭킹,배급사,음성지원,인터페이스,인터페이스 언어개수,자막,출시일,태그,태그 개수
https://store.steampowered.com/app/1620730/?snr=1_5_9__205,Nacon,2025년 6월 12일,6,Nacon,"영어, 프랑스어","독일어, 러시아어, 스페인어-스페인, 영어, 이탈리아어, 일본어, 중국어 간체, 튀르키예어, 포르투갈어-브라질, 폴란드어, 프랑스어, 한국어",12,"독일어, 러시아어, 스페인어-스페인, 영어, 이탈리아어, 일본어, 중국어 간체, 튀르키예어, 포르투갈어-브라질, 폴란드어, 프랑스어, 한국어",2025년 6월 2일,"Action, Action RPG, Action-Adventure, Adventure, Atmospheric, Beautiful, Character Customization, Combat, Dark Fantasy, Exploration, Open World, RPG, Sci-fi, Singleplayer, Souls-like, Story Rich, Supernatural, Swordplay, Third Person, Violent",20
https://store.steampowered.com/app/2686630/?snr=1_5_9__205,Treehouse Games,2025년 6월 12일,7,Treehouse Games,영어,"독일어, 러시아어, 스페인어-스페인, 스페인어-중남미, 영어, 일본어, 중국어 간체, 포르투갈어-브라질, 포트투갈어-포르투갈, 프랑스어, 한국어",11,지원 안함,2024년 12월 4일,"Action, Action-Adventure, Base Building, Building, Combat, Early Access, Exploration, Fantasy, Nature, Online Co-Op, Open World, Open World Survival Craft, PvE, RPG, Sailing, Sandbox, Singleplayer, Survival, Third Person, Underwater",20
https://store.steampowered.com/app/1904480/?snr=1_5_9__205,"Dotemu, Gamirror Games",2025년 6월 12일,8,"Dotemu, Gamirror Games",영어,"독일어, 러시아어, 스페인어-스페인, 영어, 우크라이나어, 이탈리아어, 일본어, 중국어 간체, 중국어 번체, 포르투갈어-브라질, 프랑스어, 한국어",12,"독일어, 러시아어, 스페인어-스페인, 영어, 우크라이나어, 이탈리아어, 일본어, 중국어 간체, 중국어 번체, 포르투갈어-브라질, 프랑스어, 한국어",2025년 6월 9일,"Action, Action RPG, Action Roguelike, Action-Adventure, Adventure, Arcade, Beat 'em up, Co-op, Dwarf, Fantasy, Fighting, Hack and Slash, Hand-drawn, Indie, Local Co-Op, Old School, RPG, Retro, Roguelite, Side Scroller",20
https://store.steampowered.com/app/3454650/?snr=1_5_9__205,"Clockwork Laboratories, Inc.",2025년 6월 12일,9,"Clockwork Laboratories, Inc.",지원 안함,영어,1,지원 안함,2025년 5월 29일,"3D, Base Building, Character Customization, Crafting, Early Access, Economy, Exploration, MMORPG, Multiplayer, Open World, Open World Survival Craft, Point & Click, Procedural Generation, PvE, RPG, Relaxing, Sandbox, Strategy, Survival, Third Person",20
https://store.steampowered.com/app/3602290/?snr=1_5_9__205,"성인 게임 (언어 18종, 음성 2종)",2025년 6월 12일,10,,,,0,,,,0
https://store.steampowered.com/app/2373990/?snr=1_5_9__205,Netmarble Neo,2025년 6월 13일,1(10:35 기준 작성),Netmarble,"일본어, 한국어","독일어, 러시아어, 스페인어-스페인, 영어, 이탈리아어, 인도네시아어, 일본어, 중국어 간체, 중국어 번체, 태국어, 포트투갈어-포르투갈, 프랑스어, 한국어",13,"독일어, 러시아어, 스페인어-스페인, 영어, 이탈리아어, 인도네시아어, 일본어, 중국어 간체, 중국어 번체, 태국어, 포르투갈어-포르투갈, 프랑스어, 한국어",2025년 6월 9일,"3D, Action, Action RPG, Anime, Cartoony, Combat, Controller, Fantasy, Free to play, Hack and Slash, MMORPG, Modern, Multiplayer, PvE, PvP, RPG, Sexual Content, Singleplayer, Souls-like, Third Person",20
https://store.steampowered.com/app/2814860/?snr=1_5_9__205 Demo,NEXON,2025년 6월 13일,2,NEXON,"영어, 한국어","영어, 중국어 간체, 중국어 번체, 한국어",4,"영어, 중국어 간체, 중국어 번체, 한국어",2025년 6월 8일,"3D, Action, Action RPG, Action-Adventure, Adventure, Atmospheric, Character Customization, Combat, Fantasy, Hack and Slash, Medieval, Multiplayer, Online Co-Op, Open World, RPG, Sexual Content, Singleplayer, Souls-like, Story Rich, Third Person",20
https://store.steampowered.com/app/2350790/?snr=1_5_9__205,Digital Sun,2025년 6월 13일,3,11 bit studios,지원 안함,"스페인어-스페인, 영어, 중국어 간체",3,"스페인어-스페인, 영어, 중국어 간체",2025년 6월 10일,"3D, Action, Action Roguelike, Adventure, RPG, Singleplayer",6
https://store.steampowered.com/app/3105890/?snr=1_5_9__205,GFAGAMES,2025년 6월 13일,4,GFAGAMES,"러시아어, 스페인어-중남미, 영어, 중국어 간체","독일어, 러시아어, 스페인어-중남미, 영어, 우크라이나어, 중국어 간체, 프랑스어",7,"독일어, 러시아어, 스페인어-중남미, 영어, 우크라이나어, 중국어 간체, 프랑스어",2025년 6월 9일,"3D, Action, Action-Adventure, Atmospheric, Cinematic, Crafting, Dark, Dystopian, FPS, First-Person, Looter Shooter, MMORPG, Military, Open World, Post-apocalyptic, RPG, Realistic, Sci-fi, Story Rich, Survival",20
https://store.steampowered.com/app/2686630/?snr=1_5_9__205,Treehouse Games,2025년 6월 13일,5,Treehouse Games,영어,"독일어, 러시아어, 스페인어-스페인, 스페인어-중남미, 영어, 일본어, 중국어 간체, 포르투갈어-브라질, 포트투갈어-포르투갈, 프랑스어, 한국어",11,지원 안함,2024년 12월 4일,"Action, Action-Adventure, Base Building, Building, Combat, Early Access, Exploration, Fantasy, Nature, Online Co-Op, Open World, Open World Survival Craft, PvE, RPG, Sailing, Sandbox, Singleplayer, Survival, Third Person, Underwater",20
